_id,0,1,useful
0,PC0,mugridge,F
1,PC1,paper,F
2,PC2,castle,
3,PC3,receipt,
4,PC4,salad,
5,PC5,design,
6,PC6,fare,
7,PC7,groupon,F
8,PC8,boring,
9,PC9,premium,
10,PC10,karaoke,F
11,PC11,infant,
12,PC12,compare,
13,PC13,thing,F
14,PC14,scale,
15,PC15,angle,
16,PC16,move,F
17,PC17,homeless,
18,PC18,liking,
19,PC19,miss,F
20,PC20,youll,F
21,PC21,occasion,
22,PC22,addition,
23,PC23,cava,F
24,PC24,westin,F
25,PC25,whatever,F
26,PC26,decline,
27,PC27,priority,
28,PC28,surveillance,
29,PC29,nourishment,
30,PC30,mind,
31,PC31,link,F
32,PC32,hesitation,
33,PC33,mit,F
34,PC34,less,
35,PC35,vew,F
36,PC36,smile,
37,PC37,joining,
38,PC38,pointe,
39,PC39,motivator,
40,PC40,counting,
41,PC41,sandbar,
42,PC42,felt,F
43,PC43,hence,F
44,PC44,enough,F
45,PC45,auditor,F
46,PC46,fiveminute,
47,PC47,pace,
48,PC48,marking,
49,PC49,staying,
50,PC50,sugar,
51,PC51,well,
52,PC52,counter,
53,PC53,planner,
54,PC54,rest,
55,PC55,appear,
56,PC56,i̇stanbul,F
57,PC57,foremost,
58,PC58,sugar,
59,PC59,cheek,
60,PC60,definite,
61,PC61,mecca,F
62,PC62,catering,
63,PC63,let,F
64,PC64,sheer,
65,PC65,patrol,
66,PC66,point,F
67,PC67,source,F
68,PC68,disclosure,
69,PC69,know,F
70,PC70,freebie,
71,PC71,please,
72,PC72,cunard,F
73,PC73,padding,
74,PC74,drinksfood,
75,PC75,found,
76,PC76,midtown,
77,PC77,gamble,
78,PC78,most,F
79,PC79,had,F
80,PC80,top,
81,PC81,park,
82,PC82,indhira,F
83,PC83,do,F
84,PC84,presidential,
85,PC85,prospect,
86,PC86,launching,
87,PC87,spectacular,
88,PC88,clean,
89,PC89,about,F
90,PC90,massachusetts,F
91,PC91,bound,F
92,PC92,once,F
93,PC93,water,
